,cast,eng_title,other,rating,title
94,"[' Wen Jiang', ' Yu Xia', ' Jing Ning', ' Hong Tao']",In the Heat of the Sun,"['姜文', '夏雨', '宁静', '陶虹', '中国大陆', '中国香港', '剧情']",8.8,阳光灿烂的日子
95,"[' Kar Wai Wong', ' Brigitte Lin', ' Takeshi']",重慶森林,"['王家卫', '林青霞', '金城武', '中国香港', '剧情']",8.7,重庆森林
96,"['Night Shyamalan', ' Bruce']",The Sixth Sense,"['·奈特·沙马兰', '布鲁斯·威利斯', '美国', '剧情', '悬疑']",8.8,第六感
97,"[' Thomas Vinterberg', ' Mads']",Jagten,"['托马斯·温特伯格', '麦斯·米科尔森', '丹麦', '瑞典']",9.1,狩猎
98,"[' Stephen Chow', 'Chi Lee', ' Stephen']",喜劇之王,"['周星驰', '李力持', '周星驰', '中国香港', '喜剧', '剧情']",8.7,喜剧之王
99,"[' Adam Elliot', ' Toni Collette']",Mary and Max,"['亚当·艾略特', '托妮·科莱特', '澳大利亚', '剧情', '喜剧']",8.9,玛丽和马克思
100,"[' Muye Wen', ' Zheng Xu', ' Chuanjun Wang']",中国药神  /  印度药神,"['文牧野', '徐峥', '王传君', '中国大陆', '剧情']",9.0,我不是药神
101,"[' David Fincher', ' Ben Affleck']",Gone Girl,"['大卫·芬奇', '本·阿弗莱克', '美国', '剧情', '犯罪', '悬疑']",8.7,消失的爱人
102,"[' Tetsuya Nakashima', ' Takako Matsu']",自白  /  母亲,"['中岛哲也', '松隆子', '冈田将生', '日本', '剧情']",8.7,告白
103,"[' Junichi Mori', ' Ai Hashimoto']",リトル・フォレスト 夏・秋,"['森淳一', '桥本爱', '三浦贵大', '日本']",9.0,小森林 夏秋篇
104,"[' Tim Burton', ' Ewan McGregor']",Big Fish,"['蒂姆·波顿', '伊万·麦克格雷格', '美国', '剧情', '家庭', '奇幻']",8.8,大鱼
105,"[' Edward Yang', ' Kelly Lee']",Yi yi  /  Yi yi: A One and a Two,"['杨德昌', '吴念真', '李凯莉', '金燕玲', '中国台湾', '日本', '剧情', '爱情']",9.0,一一
106,"[' Luca Guadagnino', ' Armie Hammer']",Call Me by Your Name,"['卢卡·瓜达尼诺', '艾米·汉莫', '意大利', '法国', '巴西', '美国', '荷兰', '德国', '剧情', '爱情']",8.8,请以你的名字呼唤我
107,"['Cheol Kang', 'kyung Shim']",써니,"['姜炯哲', '沈恩京', '闵孝琳', '韩国', '剧情']",8.8,阳光姐妹淘
108,"[' Richard Linklater', ' Ethan Hawke']",Before Sunrise,"['理查德·林克莱特', '伊桑·霍克', '美国', '奥地利', '瑞士', '剧情']",8.8,爱在黎明破晓前
109,"[' Jeffrey Lau', ' Tony Leung Chiu Wai']",射鵰英雄傳之東成西就,"['刘镇伟', '梁朝伟', '林青霞', '中国香港', '喜剧', '奇幻', '武侠']",8.7,射雕英雄传之东成西就
110,"[' Yoshifumi Kondo', ' Youko Honna']",耳をすませば,"['近藤喜文', '本名阳子', '小林桂树', '日本', '剧情', '爱情']",8.9,侧耳倾听
111,"[' Peter Chan', ' Leon Lai', ' Maggie Cheung']",Comrades: Almost a Love Story,"['陈可辛', '黎明', '张曼玉', '中国香港', '剧情']",8.8,甜蜜蜜
112,"[' Satoshi Kon', ' Megumi Hayashibara']",パプリカ,"['今敏', '林原惠美', '江守彻', '日本', '动画', '悬疑', '科幻']",9.0,红辣椒
113,"[' Alain Gsponer', ' Anuk Steffen']",Heidi,"['阿兰·葛斯彭纳', '阿努克·斯特芬', '德国', '瑞士', '南非', '剧情', '冒险']",9.1,海蒂和爷爷
114,"[' Dean DeBlois', ' Chris Sanders']",How to Train Your Dragon,"['迪恩·德布洛斯', '克里斯·桑德斯', '美国', '动画', '奇幻']",8.7,驯龙高手
115,"['ho Bong', 'ho Song']",살인의 추억,"['奉俊昊', '宋康昊', '金相庆', '韩国', '犯罪', '剧情', '悬疑']",8.8,杀人回忆
116,"['Tung Ching', ' Leslie Cheung', ' Joey']",倩女幽魂(87版)  /  倩女幽魂：妖魔道,"['程小东', '张国荣', '王祖贤', '中国香港', '爱情', '奇幻', '武侠']",8.7,倩女幽魂
117,"[' Tony Kaye', ' Adrien Brody']",Detachment,"['托尼·凯耶', '艾德里安·布洛迪', '美国']",8.8,超脱
118,"['kyeong Lee', 'yong Ryoo']",7번방의 선물,"['李焕庆', '柳承龙', '朴信惠', '韩国', '剧情', '喜剧']",8.8,7号房的礼物
119,"['woo Kim', 'woo Ha']",더 테러 라이브,"['金秉祐', '河正宇', '李璟荣', '韩国', '剧情', '犯罪']",8.8,恐怖直播
120,"[' Takeshi Kitano', ' Takeshi Kitano']",菊次郎の夏,"['北野武', '北野武', '关口雄介', '日本', '剧情']",8.8,菊次郎的夏天
121,"[' David Yates', ' Daniel']",Harry Potter and the Deathly Hallows: Part 2,"['大卫·叶茨', '丹尼尔·雷德克里夫', '美国', '英国', '剧情', '悬疑', '奇幻']",8.7,哈利·波特与死亡圣器(下)
122,"[' Junichi Mori', ' Ai Hashimoto']",リトル・フォレスト 冬・春,"['森淳一', '桥本爱', '三浦贵大', '日本']",9.0,小森林 冬春篇
123,"[' Richard Linklater', ' Ethan Hawke']",Before Sunset,"['理查德·林克莱特', '伊桑·霍克', '美国', '剧情']",8.8,爱在日落黄昏时
124,"[' Hayao Miyazaki', ' Sumi Shimamoto']",風の谷のナウシカ,"['宫崎骏', '岛本须美', '松田洋治', '日本', '动画', '奇幻']",8.8,风之谷
125,"[' Steven Spielberg', ' Tom']",The Terminal,"['史蒂文·斯皮尔伯格', '汤姆·汉克斯', '美国', '喜剧', '剧情']",8.7,幸福终点站
126,[' Christopher Nolan'],The Dark Knight Rises,"['克里斯托弗·诺兰', '克里斯蒂安·贝尔', '美国', '英国', '剧情', '动作', '科幻', '犯罪']",8.7,蝙蝠侠：黑暗骑士崛起
127,"[' Takahiro Omori', ' Ayane Sakura']",蛍火の杜へ,"['大森贵弘', '佐仓绫音', '内山昂辉', '日本', '剧情', '爱情', '动画']",8.8,萤火之森
128,"[' Fernando Meirelles', ' Lund']",Cidade de Deus,"['费尔南多·梅里尔斯', '卡迪亚·兰德', '巴西', '法国', '犯罪']",8.9,上帝之城
129,"['Chi Lee', ' Stephen Chow', ' Li Gong']",唐伯虎點秋香,"['李力持', '周星驰', '巩俐', '中国香港', '喜剧', '爱情']",8.6,唐伯虎点秋香
130,"[' Hiromasa Yonebayashi', ' Mirai Shida']",借りぐらしのアリエッティ,"['米林宏昌', '志田未来', '日本', '动画', '奇幻']",8.8,借东西的小人阿莉埃蒂
131,"[' Don Hall', ' Chris Williams']",Big Hero 6,"['唐·霍尔', '克里斯·威廉姆斯', '美国', '喜剧', '动作', '科幻', '动画']",8.6,超能陆战队
132,"[' Pierre Coffin', ' Chris Renaud']",Despicable Me,"['皮艾尔·柯芬', '克里斯·雷纳德', '美国', '法国', '喜剧', '动画']",8.6,神偷奶爸
133,"[' Hirokazu Koreeda', ' Yagira']",誰も知らない,"['是枝裕和', '柳乐优弥', '日本']",9.1,无人知晓
134,"[' Pete Docter', ' David Silverman']","Monsters, Inc.","['彼特·道格特', '大卫·斯沃曼', '美国', '儿童', '喜剧', '动画', '奇幻']",8.7,怪兽电力公司
135,"[' James Wan', ' Leigh Whannell']",Saw,"['詹姆斯·温', '雷·沃纳尔', '美国', '悬疑', '惊悚']",8.7,电锯惊魂
136,"[' Lee Unkrich', ' Tom Hanks']",Toy Story 3,"['李·昂克里奇', '汤姆·汉克斯', '美国', '喜剧', '动画', '奇幻']",8.8,玩具总动员3
137,"[' Alex Law', ' Sandra Ng', ' Simon Yam']",歲月神偷,"['罗启锐', '吴君如', '任达华', '中国香港', '中国大陆', '剧情']",8.7,岁月神偷
138,"[' Mel Gibson', ' Andrew Garfield']",Hacksaw Ridge,"['梅尔·吉布森', '安德鲁·加菲尔德', '美国', '澳大利亚', '剧情', '传记', '历史']",8.7,血战钢锯岭
139,"[' Paul Greengrass', ' Matt Damon']",The Bourne Ultimatum,"['保罗·格林格拉斯', '马特·达蒙', '美国', '德国', '动作', '悬疑']",8.8,谍影重重3
